Search term,Recipe name,Cuisine Type,Diet type,Total time,Calories,CHO,Fat,Protein,URL
avocado,Jus Alpukat (Indonesian Avocado-Coffee Shake) Recipe,"american, south east asian",vegetarian,5,1186,125,71,27,https://www.seriouseats.com/recipes/2020/06/jus-alpukat-indonesian-avocado-and-coffee-shake.html
avocado,Keep it green sandwich,south east asian,vegetarian,10,521,52,32,15,http://www.bbcgoodfood.com/recipes/keep-it-green-sandwich
avocado,Tofu Amaranth Salad recipes,asian,vegetarian,10,1221,40,99,70,http://www.101cookbooks.com/archives/tofu-amaranth-salad-recipe.html
avocado,Tropical Salad with Sriracha,south east asian,vegetarian,8,931,135,48,13,https://food52.com/recipes/16011-tropical-salad-with-sriracha
avocado,Zesty Tofu and Quinoa,asian,vegetarian,5,312,46,9,14,https://www.menshealth.com/recipes/zesty-tofu-and-quinoa
avocado,Ital-Cal Asian Caesar Salad,asian,vegetarian,7,1318,90,106,24,https://www.foodnetwork.com/recipes/rachael-ray/ital-cal-asian-caesar-salad-recipe-2047070
avocado,Asian Avocado Shake,"american, asian",vegetarian,8,1001,93,69,18,https://tastykitchen.com/recipes/drinks/asian-avocado-shake/
avocado,Avocado and Tofu Dressing,asian,vegetarian,10,691,26,60,23,http://www.food.com/recipe/avocado-and-tofu-dressing-205706
avocado,Zucchini Noodles with Avocado Sauce recipes,asian,vegetarian,10,628,38,54,14,http://simpleveganblog.com/zucchini-noodles-with-avocado-sauce/
avocado,"Sweet Potato, Tofu, and Avocado Breakfast Bowl recipes",asian,vegetarian,10,758,47,42,63,https://www.popsugar.com/fitness/Sweet-Potato-Tofu-Avocado-Breakfast-43269919
